player,playerLabel,dateOfBirth,teamLabels,awardLabels
http://www.wikidata.org/entity/Q3619320,Antonio Bulgheroni,1943-06-25T00:00:00Z,Pallacanestro Varese,Order of Merit for Labour
http://www.wikidata.org/entity/Q3625010,Ashley Battle,1982-05-31T00:00:00Z,"CB Estudiantes, New York Liberty, San Antonio Stars, Seattle Storm, UConn Huskies women's basketball",Huskies of Honor
http://www.wikidata.org/entity/Q3637883,Belus Smawley,1918-03-18T00:00:00Z,"Syracuse Nationals, Appalachian State Mountaineers men's basketball",North Carolina Sports Hall of Fame
http://www.wikidata.org/entity/Q3639245,Bev Smith,1960-04-04T00:00:00Z,"AS Vicenza, Oregon Ducks women's basketball","Women's Basketball Hall of Fame, British Columbia Sports Hall of Fame"
http://www.wikidata.org/entity/Q3641412,Bob Simpson,1930-04-20T00:00:00Z,Ottawa Rough Riders,Canadian Football Hall of Fame
http://www.wikidata.org/entity/Q3642611,Boris Kristančić,1932-01-02T00:00:00Z,KK Union Olimpija,"Order of Freedom of the Republic of Slovenia, Bloudek badge"
http://www.wikidata.org/entity/Q3666245,Chantelle Anderson,1981-01-22T00:00:00Z,"San Antonio Stars, Sacramento Monarchs, Vanderbilt Commodores women's basketball",Southeastern Conference Women's Basketball Player of the Year
http://www.wikidata.org/entity/Q3666448,C. M. Newton,1930-02-02T00:00:00Z,Kentucky Wildcats men's basketball,John Bunn Award
http://www.wikidata.org/entity/Q3667075,Chelsea Newton,1983-02-17T00:00:00Z,"Chicago Sky, Rutgers Scarlet Knights women's basketball",WNBA All-Rookie Team
http://www.wikidata.org/entity/Q3675554,Chris Porter,1978-05-09T00:00:00Z,"Golden State Warriors, Goyang Orion Orions, Fujian Sturgeons, Fabriano Basket, Indiana Mad Ants, Powerade Tigers, Barangay Ginebra San Miguel, Auburn Tigers men's basketball, Las Vegas Aces, Oklahoma Storm, U.D. Oliveirense",Southeastern Conference Men's Basketball Player of the Year
http://www.wikidata.org/entity/Q3699981,Czesław Malec,1941-06-26T00:00:00Z,TS Wisła Can-Pack Kraków,Medal for exceptional sports achievements
http://www.wikidata.org/entity/Q3701374,Dan Langhi,1977-11-28T00:00:00Z,"Golden State Warriors, Houston Rockets, Phoenix Suns, Milwaukee Bucks, Vanderbilt Commodores men's basketball",Southeastern Conference Men's Basketball Player of the Year
http://www.wikidata.org/entity/Q3814402,Kelly Mazzante,1982-02-02T00:00:00Z,"Atlanta Dream, Charlotte Sting",list of Women's Basketball Academic All-America Team Members of the Year
http://www.wikidata.org/entity/Q3817046,Kristin Folkl,1975-12-19T00:00:00Z,"Portland Fire, Minnesota Lynx, Stanford Cardinal women's basketball",Honda Sports Award for Volleyball
http://www.wikidata.org/entity/Q3830193,Lennie Rosenbluth,1933-01-22T00:00:00Z,"North Carolina Tar Heels men's basketball, Philadelphia Warriors",North Carolina Sports Hall of Fame
http://www.wikidata.org/entity/Q3830275,Leo Rautins,1960-03-20T00:00:00Z,"ASVEL Lyon-Villeurbanne, Pallacanestro Virtus Roma, Scaligera Basket Verona, Baloncesto Málaga, SAD, Philadelphia 76ers, Atlanta Hawks, Élan Béarnais Pau-Lacq-Orthez, Canada men's national basketball team, La Crosse Bobcats, Sioux Falls Skyforce, Club Ourense Baloncesto, Minnesota Golden Gophers men's basketball, Syracuse Orange men's basketball",Ontario Sports Hall of Fame
http://www.wikidata.org/entity/Q3838166,Luca Lechthaler,1986-02-23T00:00:00Z,Aquila Basket Trento,Category:Medal for athletic prowess
http://www.wikidata.org/entity/Q3845498,Marcella Filippi,1985-09-27T00:00:00Z,PF Schio,Gold Collar for Sports Merit
http://www.wikidata.org/entity/Q3853932,Megan Duffy,1984-07-13T00:00:00Z,"New York Liberty, Minnesota Lynx, MBK Ružomberok, Rhondda Rebels, Notre Dame Fighting Irish women's basketball",Frances Pomeroy Naismith Award
http://www.wikidata.org/entity/Q3856872,Michelle Edwards,1966-03-06T00:00:00Z,"Cleveland Rockers, Iowa Hawkeyes women's basketball",Women's Basketball Hall of Fame
http://www.wikidata.org/entity/Q3857394,Mike Gansey,1982-12-21T00:00:00Z,"CB 1939 Canarias, St. Bonaventure Bonnies men's basketball, West Virginia Mountaineers men's basketball",NBA Development League Basketball Executive of the Year Award
http://www.wikidata.org/entity/Q3870581,Natallia Anufryienka,1985-06-11T00:00:00Z,"Horizont Minsk, Olimpia Grodno, WBC Dunav Ruse, Viktoryja Hrodna",Q26227226
http://www.wikidata.org/entity/Q3874076,Neal Walk,1948-07-29T00:00:00Z,"Reyer Venezia Mestre, New York Knicks, Phoenix Suns, Utah Jazz, Florida Gators men's basketball",University of Florida Athletic Hall of Fame
http://www.wikidata.org/entity/Q3878434,Norm Sloan,1926-06-25T00:00:00Z,"NC State Wolfpack football, NC State Wolfpack men's basketball","Associated Press College Basketball Coach of the Year, North Carolina Sports Hall of Fame"
http://www.wikidata.org/entity/Q7172014,Pete Hegseth,1980-06-06T00:00:00Z,Princeton Tigers men's basketball,"Bronze Star Medal, Commendation Medal, Combat Infantryman Badge, Expert Infantryman Badge, Army Commendation Medal"
http://www.wikidata.org/entity/Q7176793,Peter Scantlebury,1963-11-21T00:00:00Z,Sheffield Sharks,Member of the Order of the British Empire
http://www.wikidata.org/entity/Q7216305,Wendell Hudson,1951-04-16T00:00:00Z,Alabama Crimson Tide men's basketball,Southeastern Conference Men's Basketball Player of the Year
http://www.wikidata.org/entity/Q7287728,Ralph Jordan,1910-09-25T00:00:00Z,"Auburn Tigers baseball, Auburn Tigers football, Auburn Tigers men's basketball","Purple Heart, College Football Hall of Fame, Bronze Star Medal"
http://www.wikidata.org/entity/Q7329675,Richard Vinroot,1941-04-14T00:00:00Z,North Carolina Tar Heels men's basketball,Distinguished Eagle Scout Award
http://www.wikidata.org/entity/Q7704531,Terry Holland,1942-04-02T00:00:00Z,Davidson Wildcats men's basketball,North Carolina Sports Hall of Fame
http://www.wikidata.org/entity/Q7817157,Tom Parker,1950-07-01T00:00:00Z,Kentucky Wildcats men's basketball,Southeastern Conference Men's Basketball Player of the Year
http://www.wikidata.org/entity/Q7822525,Tony Hanson,1955-10-20T00:00:00Z,"Utah Jazz, UConn Huskies men's basketball",Huskies of Honor
http://www.wikidata.org/entity/Q7847259,Trudi Lacey,1958-12-12T00:00:00Z,NC State Wolfpack women's basketball,North Carolina Sports Hall of Fame
http://www.wikidata.org/entity/Q7860032,Tyler Haws,1991-04-11T00:00:00Z,"Obradoiro CAB, BYU Cougars men's basketball",West Coast Conference Men's Basketball Player of the Year
http://www.wikidata.org/entity/Q7924750,Vic Bubas,1927-01-28T00:00:00Z,"Illinois Fighting Illini men's basketball, NC State Wolfpack men's basketball","John Bunn Award, North Carolina Sports Hall of Fame"
http://www.wikidata.org/entity/Q7926203,Victor Oladipo,1992-05-04T00:00:00Z,"Orlando Magic, Houston Rockets, Indiana Pacers, Oklahoma City Thunder, Indiana Hoosiers men's basketball",NBA Most Improved Player Award
http://www.wikidata.org/entity/Q7935951,Vishesh Bhriguvanshi,1991-09-13T00:00:00Z,India men's national basketball team,Arjuna Award
http://www.wikidata.org/entity/Q8002672,Will Allen,1949-02-08T00:00:00Z,Miami Hurricanes men's basketball,"MacArthur Fellows Program, Theodore Roosevelt Award"
http://www.wikidata.org/entity/Q8021593,Willie Jackson,1971-08-16T00:00:00Z,"New Orleans Saints, Dallas Cowboys, Washington Commanders, Cincinnati Bengals, Atlanta Falcons, Jacksonville Jaguars, Florida Gators football, Florida Gators men's basketball",University of Florida Athletic Hall of Fame
http://www.wikidata.org/entity/Q8037275,Worthy Patterson,1931-06-17T00:00:00Z,"Atlanta Hawks, UConn Huskies men's basketball",Huskies of Honor
http://www.wikidata.org/entity/Q8051265,Yehoshua Rozin,1918-08-16T00:00:00Z,Maccabi Tel Aviv B.C.,Israel Prize
http://www.wikidata.org/entity/Q12309137,Dzidra Uztupe-Karamiševa,1930-05-02T00:00:00Z,TTT Riga,"Order of the Three Stars, Order of the Badge of Honour, Merited Coach of the USSR, Merited Master of Sports of the USSR"
http://www.wikidata.org/entity/Q12656227,Gunārs Siliņš,1928-02-05T00:00:00Z,PBC CSKA Moscow,Merited Master of Sports of the USSR
http://www.wikidata.org/entity/Q13530765,Annegrit Brießmann,1972-07-28T00:00:00Z,Q1885627,Silbernes Lorbeerblatt
http://www.wikidata.org/entity/Q13562617,Chiney Ogwumike,1992-03-21T00:00:00Z,"Connecticut Sun, Stanford Cardinal women's basketball","WNBA Rookie of the Year Award, John R. Wooden Award, list of Women's Basketball Academic All-America Team Members of the Year, Pac-12 Conference Women's Basketball Player of the Year"
http://www.wikidata.org/entity/Q13562646,Muffet McGraw,1955-12-05T00:00:00Z,Saint Joseph's Hawks women's basketball,"Women's Basketball Hall of Fame, Associated Press College Basketball Coach of the Year"
http://www.wikidata.org/entity/Q13562909,Kentavious Caldwell-Pope,1993-02-18T00:00:00Z,"Los Angeles Lakers, Detroit Pistons, Georgia Bulldogs men's basketball",Southeastern Conference Men's Basketball Player of the Year
http://www.wikidata.org/entity/Q14330096,Andrew Smith,1990-09-09T00:00:00Z,"BC Neptūnas, Butler Bulldogs men's basketball","Academic All-America, Senior CLASS Award, USBWA Most Courageous Award"
http://www.wikidata.org/entity/Q14431691,Nik Stauskas,1993-10-07T00:00:00Z,"Saski Baskonia, Philadelphia 76ers, Sacramento Kings, Portland Trail Blazers, Michigan Wolverines men's basketball",Big Ten Conference Men's Basketball Player of the Year
http://www.wikidata.org/entity/Q14834367,Kristaps Porziņģis,1995-08-02T00:00:00Z,"Real Betis Baloncesto, New York Knicks, Boston Celtics, Dallas Mavericks, Washington Wizards","NBA All-Rookie Team, EuroCup Basketball Rising Star, 2018 NBA All-Star Game"
http://www.wikidata.org/entity/Q15030951,Lew Hayman,1908-09-30T00:00:00Z,Syracuse Orange men's basketball,"Canadian Football Hall of Fame, Ontario Sports Hall of Fame"
http://www.wikidata.org/entity/Q15080560,Tatyana Petrushina,1990-01-21T00:00:00Z,"WBC Dynamo Novosibirsk, Chevakata Vologda, UMMC Ekaterinburg","European Games, Master of Sports of International Class"
http://www.wikidata.org/entity/Q15207321,Kelsey Bone,1991-12-31T00:00:00Z,New York Liberty,"WNBA Most Improved Player Award, WNBA All-Rookie Team"
http://www.wikidata.org/entity/Q15298499,Gino Burcovich,1929-12-05T00:00:00Z,Reyer Venezia Mestre,Order of Merit of the Italian Republic
